RCE01

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
     0       40       50          0            0         240          0
     1       25       85         20          107         177         10
     2       22       75         30           35         105         10
     3       22       85         10          134         204         10
     4       20       80         40           44         114         10
     5       20       85         20          113         183         10
     6       18       75         20           33         103         10
     7       15       75         20           76         146         10
     8       15       80         10          112         182         10
     9       10       35         20           34         104         10
    10       10       40         30           66         136         10
    11        8       40         40          129         199         10
    12        8       45         20           32         102         10
    13        5       35         10          118         188         10
    14        5       45         10           35         105         10
    15        2       40         20          115         185         10
    16        0       40         20           72         142         10
    17        0       45         20          136         206         10
    18       44        5         20           79         149         10
    19       42       10         40           67         137         10
    20       42       15         10           90         160         10
    21       40        5         10           91         161         10
    22       40       15         40          129         199         10
    23       38        5         30           71         141         10
    24       38       15         10          128         198         10
    25       35        5         20           45         115         10
    26       95       30         30           89         159         10
    27       95       35         20          104         174         10
    28       92       30         10           56         126         10
    29       90       35         10           52         122         10
    30       88       30         10          127         197         10
    31       88       35         20           50         120         10
    32       87       30         10           95         165         10
    33       85       25         10           51         121         10
    34       85       35         30           47         117         10
    35       67       85         20           44         114         10
    36       65       85         40          105         175         10
    37       65       82         10           95         165         10
    38       62       80         30           37         107         10
    39       60       80         10          121         191         10
    40       60       85         30           40         110         10
    41       58       75         20          111         181         10
    42       55       80         10          103         173         10
    43       55       85         20           45         115         10
    44       55       82         10          126         196         10
    45       20       82         10           49         119         10
    46       18       80         10           37         107         10
    47        2       45         10           38         108         10
    48       42        5         10           77         147         10
    49       42       12         10           74         144         10
    50       72       35         30           35         105         10
    51       55       20         19           48         118         10
    52       25       30          3          115         185         10
    53       20       50          5           23          93         10
    54       55       60         16           90         160         10
    55       30       60         16           68         138         10
    56       50       35         19           37         107         10
    57       30       25         23          117         187         10
    58       15       10         20           87         157         10
    59       10       20         19           77         147         10
    60       15       60         17          129         199         10
    61       45       65          9           70         140         10
    62       65       35          3          144         214         10
    63       65       20          6           70         140         10
    64       45       30         17           21          91         10
    65       35       40         16          110         180         10
    66       41       37         16           18          88         10
    67       64       42          9           90         160         10
    68       40       60         21           94         164         10
    69       31       52         27           22          92         10
    70       35       69         23           54         124         10
    71       65       55         14           25          95         10
    72       63       65          8          138         208         10
    73        2       60          5          114         184         10
    74       20       20          8           98         168         10
    75        5        5         16          113         183         10
    76       60       12         31           61         131         10
    77       23        3          7          140         210         10
    78        8       56         27           68         138         10
    79        6       68         30           44         114         10
    80       47       47         13           49         119         10
    81       49       58         10          103         173         10
    82       27       43          9          121         191         10
    83       37       31         14           29          99         10
    84       57       29         18           27          97         10
    85       63       23          2           48         118         10
    86       21       24         28          101         171         10
    87       12       24         13           47         117         10
    88       24       58         19          154         224         10
    89       67        5         25           96         166         10
    90       37       47          6            4          74         10
    91       49       42         13          121         191         10
    92       53       43         14          153         223         10
    93       61       52          3           32         102         10
    94       57       48         23          131         201         10
    95       56       37          6           21          91         10
    96       55       54         26          162         232         10
    97        4       18         35          126         196         10
    98       26       52          9           14          84         10
    99       26       35         15           73         143         10
   100       31       67          3           38         108         10
