RCH01

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
     0       40       50          0            0         240          0
     1       25       85         20           72          82         10
     2       22       75         30          103         113         10
     3       22       85         10           40          50         10
     4       20       80         40           86          96         10
     5       20       85         20           53          63         10
     6       18       75         20          122         132         10
     7       15       75         20          110         120         10
     8       15       80         10           96         106         10
     9       10       35         20          169         179         10
    10       10       40         30           94         104         10
    11        8       40         40           45          55         10
    12        8       45         20          111         121         10
    13        5       35         10          134         144         10
    14        5       45         10           65          75         10
    15        2       40         20          179         189         10
    16        0       40         20          115         125         10
    17        0       45         20          156         166         10
    18       44        5         20           62          72         10
    19       42       10         40          108         118         10
    20       42       15         10           84          94         10
    21       40        5         10           82          92         10
    22       40       15         40           68          78         10
    23       38        5         30           63          73         10
    24       38       15         10           88          98         10
    25       35        5         20          119         129         10
    26       95       30         30           74          84         10
    27       95       35         20          152         162         10
    28       92       30         10           81          91         10
    29       90       35         10           95         105         10
    30       88       30         10          120         130         10
    31       88       35         20           55          65         10
    32       87       30         10           55          65         10
    33       85       25         10           73          83         10
    34       85       35         30           67          77         10
    35       67       85         20          141         151         10
    36       65       85         40          136         146         10
    37       65       82         10          136         146         10
    38       62       80         30          179         189         10
    39       60       80         10          136         146         10
    40       60       85         30          154         164         10
    41       58       75         20           52          62         10
    42       55       80         10          154         164         10
    43       55       85         20          156         166         10
    44       55       82         10          171         181         10
    45       20       82         10          124         134         10
    46       18       80         10           49          59         10
    47        2       45         10          163         173         10
    48       42        5         10           49          59         10
    49       42       12         10           78          88         10
    50       72       35         30          114         124         10
    51       55       20         19           34          44         10
    52       25       30          3           68          78         10
    53       20       50          5          131         141         10
    54       55       60         16          156         166         10
    55       30       60         16           55          65         10
    56       50       35         19           86          96         10
    57       30       25         23          178         188         10
    58       15       10         20          156         166         10
    59       10       20         19          124         134         10
    60       15       60         17           71          81         10
    61       45       65          9           21          31         10
    62       65       35          3           29          39         10
    63       65       20          6           73          83         10
    64       45       30         17          160         170         10
    65       35       40         16          109         119         10
    66       41       37         16          111         121         10
    67       64       42          9           25          35         10
    68       40       60         21           85          95         10
    69       31       52         27           75          85         10
    70       35       69         23          107         117         10
    71       65       55         14           94         104         10
    72       63       65          8           27          37         10
    73        2       60          5          118         128         10
    74       20       20          8           56          66         10
    75        5        5         16           78          88         10
    76       60       12         31           97         107         10
    77       23        3          7          141         151         10
    78        8       56         27          151         161         10
    79        6       68         30           46          56         10
    80       47       47         13          159         169         10
    81       49       58         10          104         114         10
    82       27       43          9          186         196         10
    83       37       31         14          113         123         10
    84       57       29         18          148         158         10
    85       63       23          2           37          47         10
    86       21       24         28          123         133         10
    87       12       24         13           67          77         10
    88       24       58         19           18          28         10
    89       67        5         25           84          94         10
    90       37       47          6           35          45         10
    91       49       42         13          189         199         10
    92       53       43         14           60          70         10
    93       61       52          3          121         131         10
    94       57       48         23          134         144         10
    95       56       37          6          175         185         10
    96       55       54         26           43          53         10
    97        4       18         35           54          64         10
    98       26       52          9           41          51         10
    99       26       35         15           89          99         10
   100       31       67          3           65          75         10
