RCH15_ACC

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
     0       40       50          0            0         240          0
     1       25       85         20           51          86         10
     2       22       75         30          146         181         10
     3       22       85         10          167         202         10
     4       20       80         40           61          96         10
     5       20       85         20           75         110         10
     6       18       75         20           88         123         10
     7       15       75         20           73         108         10
     8       15       80         10          163         198         10
     9       10       35         20          117         152         10
    10       10       40         30          151         186         10
    11        8       40         40          115         150         10
    12        8       45         20          168         203         10
    13        5       35         10           71         106         10
    14        5       45         10          151         186         10
    15        2       40         20           55          90         10
    16        0       40         20           75         110         10
    17        0       45         20           84         119         10
    18       44        5         20          124         159         10
    19       42       10         40           40          75         10
    20       42       15         10          122         157         10
    21       40        5         10           46          81         10
    22       40       15         40           97         132         10
    23       38        5         30           48          83         10
    24       38       15         10          130         165         10
    25       35        5         20          124         159         10
    26       95       30         30           59          94         10
    27       95       35         20           90         125         10
    28       92       30         10           61          96         10
    29       90       35         10           98         133         10
    30       88       30         10          131         166         10
    31       88       35         20           55          90         10
    32       87       30         10           64          99         10
    33       85       25         10           98         133         10
    34       85       35         30          136         171         10
    35       67       85         20           62          97         10
    36       65       85         40           43          78         10
    37       65       82         10           58          93         10
    38       62       80         30          159         194         10
    39       60       80         10          142         177         10
    40       60       85         30          126         161         10
    41       58       75         20          133         168         10
    42       55       80         10          136         171         10
    43       55       85         20          110         145         10
    44       55       82         10          121         156         10
    45       20       82         10          126         161         10
    46       18       80         10           41          76         10
    47        2       45         10           86         121         10
    48       42        5         10           56          91         10
    49       42       12         10          167         202         10
    50       72       35         30           51          86         10
    51       55       20         19           60          95         10
    52       25       30          3          175         210         10
    53       20       50          5          131         166         10
    54       55       60         16           66         101         10
    55       30       60         16          172         207         10
    56       50       35         19          115         150         10
    57       30       25         23          176         211         10
    58       15       10         20          104         139         10
    59       10       20         19           68         103         10
    60       15       60         17          117         152         10
    61       45       65          9          103         138         10
    62       65       35          3           53          88         10
    63       65       20          6          134         169         10
    64       45       30         17           21          56         10
    65       35       40         16          165         200         10
    66       41       37         16           53          88         10
    67       64       42          9           38          73         10
    68       40       60         21           14          49         10
    69       31       52         27           87         122         10
    70       35       69         23          138         173         10
    71       65       55         14          163         198         10
    72       63       65          8           35          70         10
    73        2       60          5          159         194         10
    74       20       20          8          119         154         10
    75        5        5         16          151         186         10
    76       60       12         31          157         192         10
    77       23        3          7           85         120         10
    78        8       56         27          142         177         10
    79        6       68         30          148         183         10
    80       47       47         13          154         189         10
    81       49       58         10          200         235         10
    82       27       43          9          193         228         10
    83       37       31         14          185         220         10
    84       57       29         18          178         213         10
    85       63       23          2          148         183         10
    86       21       24         28           32          67         10
    87       12       24         13           38          73         10
    88       24       58         19          173         208         10
    89       67        5         25           83         118         10
    90       37       47          6           23          58         10
    91       49       42         13           68         103         10
    92       53       43         14          197         232         10
    93       61       52          3          118         153         10
    94       57       48         23          169         204         10
    95       56       37          6          109         144         10
    96       55       54         26           76         111         10
    97        4       18         35          117         152         10
    98       26       52          9          125         160         10
    99       26       35         15          105         140         10
   100       31       67          3          144         179         10

EVENTS
# TYPE  TRIGGER_TIME  DURATION  MULTIPLIER/SEVERITY  NODES...
ACCIDENT 117.8 65.9 2.04 3 1 2 3 4 5 6 7 8 45 46 55 79 88 100

ACCIDENT 131.4 72.0 5.88 5 18 19 20 21 22 23 24 25 48 49 57 64 66 77 83

ACCIDENT 144.6 55.5 5.88 5 30 32 33 50 51 56 62 63 76 80 84 85 89 91 92 95

