RCM04

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
     0       40       50          0            0         240          0
     1       25       85         20           78         128         10
     2       22       75         30          125         175         10
     3       22       85         10          133         183         10
     4       20       80         40           77         127         10
     5       20       85         20          160         210         10
     6       18       75         20           33          83         10
     7       15       75         20          151         201         10
     8       15       80         10          162         212         10
     9       10       35         20           38          88         10
    10       10       40         30          102         152         10
    11        8       40         40          106         156         10
    12        8       45         20          107         157         10
    13        5       35         10           92         142         10
    14        5       45         10          157         207         10
    15        2       40         20          124         174         10
    16        0       40         20          117         167         10
    17        0       45         20           99         149         10
    18       44        5         20           85         135         10
    19       42       10         40          122         172         10
    20       42       15         10           35          85         10
    21       40        5         10           96         146         10
    22       40       15         40           48          98         10
    23       38        5         30           53         103         10
    24       38       15         10           35          85         10
    25       35        5         20           45          95         10
    26       95       30         30          122         172         10
    27       95       35         20           58         108         10
    28       92       30         10           75         125         10
    29       90       35         10           58         108         10
    30       88       30         10          148         198         10
    31       88       35         20          140         190         10
    32       87       30         10           51         101         10
    33       85       25         10          140         190         10
    34       85       35         30           48          98         10
    35       67       85         20           92         142         10
    36       65       85         40           43          93         10
    37       65       82         10           85         135         10
    38       62       80         30           37          87         10
    39       60       80         10           65         115         10
    40       60       85         30           56         106         10
    41       58       75         20          129         179         10
    42       55       80         10          128         178         10
    43       55       85         20          119         169         10
    44       55       82         10           61         111         10
    45       20       82         10           98         148         10
    46       18       80         10          144         194         10
    47        2       45         10           83         133         10
    48       42        5         10           88         138         10
    49       42       12         10           76         126         10
    50       72       35         30           55         105         10
    51       55       20         19           91         141         10
    52       25       30          3           25          75         10
    53       20       50          5          159         209         10
    54       55       60         16          162         212         10
    55       30       60         16          180         230         10
    56       50       35         19          162         212         10
    57       30       25         23           37          87         10
    58       15       10         20           47          97         10
    59       10       20         19           71         121         10
    60       15       60         17           88         138         10
    61       45       65          9           16          66         10
    62       65       35          3          164         214         10
    63       65       20          6          101         151         10
    64       45       30         17          131         181         10
    65       35       40         16          108         158         10
    66       41       37         16           13          63         10
    67       64       42          9           91         141         10
    68       40       60         21           10          60         10
    69       31       52         27           44          94         10
    70       35       69         23           47          97         10
    71       65       55         14           25          75         10
    72       63       65          8          147         197         10
    73        2       60          5          151         201         10
    74       20       20          8           71         121         10
    75        5        5         16          116         166         10
    76       60       12         31           43          93         10
    77       23        3          7          108         158         10
    78        8       56         27          147         197         10
    79        6       68         30           68         118         10
    80       47       47         13           22          72         10
    81       49       58         10           87         137         10
    82       27       43          9           68         118         10
    83       37       31         14          176         226         10
    84       57       29         18           52         102         10
    85       63       23          2           62         112         10
    86       21       24         28          124         174         10
    87       12       24         13           49          99         10
    88       24       58         19          173         223         10
    89       67        5         25           98         148         10
    90       37       47          6          133         183         10
    91       49       42         13          173         223         10
    92       53       43         14           15          65         10
    93       61       52          3          102         152         10
    94       57       48         23          113         163         10
    95       56       37          6           98         148         10
    96       55       54         26           49          99         10
    97        4       18         35           75         125         10
    98       26       52          9          161         211         10
    99       26       35         15          120         170         10
   100       31       67          3           32          82         10
