RE06

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
     0       35       35          0            0         230          0
     1       41       49         10          134         204         10
     2       35       17          7           37         107         10
     3       55       45         13          112         182         10
     4       55       20         19           75         145         10
     5       15       30         26           21          91         10
     6       25       30          3           11          81         10
     7       20       50          5           89         159         10
     8       10       43          9          117         187         10
     9       55       60         16           32         102         10
    10       30       60         16           25          95         10
    11       20       65         12           92         162         10
    12       50       35         19           51         121         10
    13       30       25         23           29          99         10
    14       15       10         20          137         207         10
    15       30        5          8           56         126         10
    16       10       20         19           57         127         10
    17        5       30          2           80         150         10
    18       20       40         12           42         112         10
    19       15       60         17          117         187         10
    20       45       65          9          153         223         10
    21       45       20         11           65         135         10
    22       45       10         18           41         111         10
    23       55        5         29           36         106         10
    24       65       35          3           98         168         10
    25       65       20          6          109         179         10
    26       45       30         17           11          81         10
    27       35       40         16           28          98         10
    28       41       37         16          140         210         10
    29       64       42          9           48         118         10
    30       40       60         21           25          95         10
    31       31       52         27          160         230         10
    32       35       69         23           88         158         10
    33       53       52         11           25          95         10
    34       65       55         14           56         126         10
    35       63       65          8           74         144         10
    36        2       60          5          143         213         10
    37       20       20          8           21          91         10
    38        5        5         16          103         173         10
    39       60       12         31           68         138         10
    40       40       25          9          138         208         10
    41       42        7          5           29          99         10
    42       24       12          5           53         123         10
    43       23        3          7           36         106         10
    44       11       14         18           95         165         10
    45        6       38         16           47         117         10
    46        2       48          1           86         156         10
    47        8       56         27           37         107         10
    48       13       52         36           28          98         10
    49        6       68         30          132         202         10
    50       47       47         13          111         181         10
    51       49       58         10           68         138         10
    52       27       43          9          108         178         10
    53       37       31         14           57         127         10
    54       57       29         18           23          93         10
    55       63       23          2           99         169         10
    56       53       12          6          139         209         10
    57       32       12          7           39         109         10
    58       36       26         18          118         188         10
    59       21       24         28           97         167         10
    60       17       34          3           18          88         10
    61       12       24         13          146         216         10
    62       24       58         19           25          95         10
    63       27       69         10          121         191         10
    64       15       77          9          117         187         10
    65       62       77         20           50         120         10
    66       49       73         25           78         148         10
    67       67        5         25           44         114         10
    68       56       39         36          160         230         10
    69       37       47          6           12          82         10
    70       37       56          5           78         148         10
    71       57       68         15           72         142         10
    72       47       16         25          155         225         10
    73       44       17          9           74         144         10
    74       46       13          8           30         100         10
    75       49       11         18           51         121         10
    76       49       42         13          137         207         10
    77       53       43         14           44         114         10
    78       61       52          3          149         219         10
    79       57       48         23           70         140         10
    80       56       37          6          152         222         10
    81       55       54         26           28          98         10
    82       15       47         16           23          93         10
    83       14       37         11           21          91         10
    84       11       31          7           63         133         10
    85       16       22         41          140         210         10
    86        4       18         35          128         198         10
    87       28       18         26           18          88         10
    88       26       52          9           22          92         10
    89       26       35         15            9          79         10
    90       31       67          3           67         137         10
    91       15       19          1           65         135         10
    92       22       22          2           74         144         10
    93       18       24         22          148         218         10
    94       26       27         27          145         215         10
    95       25       24         20           58         128         10
    96       22       27         11          137         207         10
    97       25       21         12           45         115         10
    98       19       21         10           21          91         10
    99       20       26          9           48         118         10
   100       18       18         17           24          94         10
