RH04

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
     0       35       35          0            0         230          0
     1       41       49         10          159         174         10
     2       35       17          7           35          50         10
     3       55       45         13          113         128         10
     4       55       20         19           36          51         10
     5       15       30         26          189         204         10
     6       25       30          3           42          57         10
     7       20       50          5          144         159         10
     8       10       43          9          112         127         10
     9       55       60         16          105         120         10
    10       30       60         16          161         176         10
    11       20       65         12          104         119         10
    12       50       35         19           49          64         10
    13       30       25         23           54          69         10
    14       15       10         20          143         158         10
    15       30        5          8          106         121         10
    16       10       20         19          136         151         10
    17        5       30          2          122         137         10
    18       20       40         12          180         195         10
    19       15       60         17          176         191         10
    20       45       65          9          105         120         10
    21       45       20         11           22          37         10
    22       45       10         18          141         156         10
    23       55        5         29          165         180         10
    24       65       35          3          117         132         10
    25       65       20          6           44          59         10
    26       45       30         17          107         122         10
    27       35       40         16          148         163         10
    28       41       37         16          108         123         10
    29       64       42          9           76          91         10
    30       40       60         21           85         100         10
    31       31       52         27          120         135         10
    32       35       69         23          163         178         10
    33       53       52         11           25          40         10
    34       65       55         14           52          67         10
    35       63       65          8          107         122         10
    36        2       60          5          144         159         10
    37       20       20          8          151         166         10
    38        5        5         16          107         122         10
    39       60       12         31           69          84         10
    40       40       25          9           58          73         10
    41       42        7          5           98         113         10
    42       24       12          5          121         136         10
    43       23        3          7           58          73         10
    44       11       14         18           99         114         10
    45        6       38         16          132         147         10
    46        2       48          1           38          53         10
    47        8       56         27          112         127         10
    48       13       52         36           34          49         10
    49        6       68         30           48          63         10
    50       47       47         13           32          47         10
    51       49       58         10          185         200         10
    52       27       43          9           32          47         10
    53       37       31         14           13          28         10
    54       57       29         18           40          55         10
    55       63       23          2           79          94         10
    56       53       12          6           89         104         10
    57       32       12          7           24          39         10
    58       36       26         18           75          90         10
    59       21       24         28          184         199         10
    60       17       34          3           55          70         10
    61       12       24         13           94         109         10
    62       24       58         19           96         111         10
    63       27       69         10           87         102         10
    64       15       77          9          146         161         10
    65       62       77         20          144         159         10
    66       49       73         25           55          70         10
    67       67        5         25           60          75         10
    68       56       39         36           85         100         10
    69       37       47          6           68          83         10
    70       37       56          5           22          37         10
    71       57       68         15          108         123         10
    72       47       16         25          113         128         10
    73       44       17          9          156         171         10
    74       46       13          8          132         147         10
    75       49       11         18          123         138         10
    76       49       42         13          159         174         10
    77       53       43         14           77          92         10
    78       61       52          3          150         165         10
    79       57       48         23           88         103         10
    80       56       37          6          138         153         10
    81       55       54         26           96         111         10
    82       15       47         16           80          95         10
    83       14       37         11          159         174         10
    84       11       31          7          127         142         10
    85       16       22         41          102         117         10
    86        4       18         35          142         157         10
    87       28       18         26          139         154         10
    88       26       52          9           46          61         10
    89       26       35         15           86         101         10
    90       31       67          3           37          52         10
    91       15       19          1          144         159         10
    92       22       22          2           97         112         10
    93       18       24         22           25          40         10
    94       26       27         27           79          94         10
    95       25       24         20          102         117         10
    96       22       27         11          170         185         10
    97       25       21         12          135         150         10
    98       19       21         10           85         100         10
    99       20       26          9           17          32         10
   100       18       18         17           24          39         10
