RH15_ACC

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
     0       35       35          0            0         230          0
     1       41       49         10          103         115         10
     2       35       17          7           93         105         10
     3       55       45         13          113         125         10
     4       55       20         19           60          72         10
     5       15       30         26           58          70         10
     6       25       30          3           11          23         10
     7       20       50          5          152         164         10
     8       10       43          9           57          69         10
     9       55       60         16           32          44         10
    10       30       60         16           42          54         10
    11       20       65         12          169         181         10
    12       50       35         19          191         203         10
    13       30       25         23          137         149         10
    14       15       10         20           99         111         10
    15       30        5          8           30          42         10
    16       10       20         19          104         116         10
    17        5       30          2          115         127         10
    18       20       40         12           65          77         10
    19       15       60         17           77          89         10
    20       45       65          9          166         178         10
    21       45       20         11           71          83         10
    22       45       10         18           84          96         10
    23       55        5         29           96         108         10
    24       65       35          3          129         141         10
    25       65       20          6          123         135         10
    26       45       30         17          115         127         10
    27       35       40         16           84          96         10
    28       41       37         16           48          60         10
    29       64       42          9          104         116         10
    30       40       60         21          112         124         10
    31       31       52         27          174         186         10
    32       35       69         23          145         157         10
    33       53       52         11          110         122         10
    34       65       55         14           51          63         10
    35       63       65          8          114         126         10
    36        2       60          5           53          65         10
    37       20       20          8           48          60         10
    38        5        5         16           54          66         10
    39       60       12         31          155         167         10
    40       40       25          9           11          23         10
    41       42        7          5           29          41         10
    42       24       12          5           71          83         10
    43       23        3          7           48          60         10
    44       11       14         18          153         165         10
    45        6       38         16          126         138         10
    46        2       48          1           98         110         10
    47        8       56         27          132         144         10
    48       13       52         36           34          46         10
    49        6       68         30           68          80         10
    50       47       47         13          116         128         10
    51       49       58         10           31          43         10
    52       27       43          9          201         213         10
    53       37       31         14           75          87         10
    54       57       29         18          102         114         10
    55       63       23          2          134         146         10
    56       53       12          6           95         107         10
    57       32       12          7          131         143         10
    58       36       26         18          199         211         10
    59       21       24         28          135         147         10
    60       17       34          3           57          69         10
    61       12       24         13           55          67         10
    62       24       58         19          154         166         10
    63       27       69         10           43          55         10
    64       15       77          9           94         106         10
    65       62       77         20           58          70         10
    66       49       73         25           40          52         10
    67       67        5         25           44          56         10
    68       56       39         36           87          99         10
    69       37       47          6          151         163         10
    70       37       56          5           94         106         10
    71       57       68         15          157         169         10
    72       47       16         25           47          59         10
    73       44       17          9          147         159         10
    74       46       13          8          167         179         10
    75       49       11         18          184         196         10
    76       49       42         13          129         141         10
    77       53       43         14           88         100         10
    78       61       52          3          164         176         10
    79       57       48         23          103         115         10
    80       56       37          6          126         138         10
    81       55       54         26          159         171         10
    82       15       47         16          134         146         10
    83       14       37         11          157         169         10
    84       11       31          7          115         127         10
    85       16       22         41          166         178         10
    86        4       18         35           38          50         10
    87       28       18         26          160         172         10
    88       26       52          9           61          73         10
    89       26       35         15           86          98         10
    90       31       67          3           96         108         10
    91       15       19          1          103         115         10
    92       22       22          2          157         169         10
    93       18       24         22          172         184         10
    94       26       27         27          197         209         10
    95       25       24         20          136         148         10
    96       22       27         11           38          50         10
    97       25       21         12          136         148         10
    98       19       21         10          149         161         10
    99       20       26          9          103         115         10
   100       18       18         17           29          41         10

EVENTS
# TYPE  TRIGGER_TIME  DURATION  MULTIPLIER/SEVERITY  NODES...
ACCIDENT 35.1 50.5 1.2 2 5 8 17 18 45 46 60 83 84 89

ACCIDENT 46.8 44.3 2.04 3 6 13 14 16 37 38 42 44 59 61 85 86 91 92 93 94 95 96 97 98 99 100

ACCIDENT 38.4 52.9 2.04 3 2 15 22 41 43 57 58 87

