RM06

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
     0       35       35          0            0         230          0
     1       41       49         10           62          87         10
     2       35       17          7          160         185         10
     3       55       45         13          146         171         10
     4       55       20         19           32          57         10
     5       15       30         26          163         188         10
     6       25       30          3           88         113         10
     7       20       50          5          103         128         10
     8       10       43          9          179         204         10
     9       55       60         16           38          63         10
    10       30       60         16           37          62         10
    11       20       65         12           60          85         10
    12       50       35         19          179         204         10
    13       30       25         23           37          62         10
    14       15       10         20          103         128         10
    15       30        5          8          101         126         10
    16       10       20         19          105         130         10
    17        5       30          2           57          82         10
    18       20       40         12           85         110         10
    19       15       60         17           32          57         10
    20       45       65          9           41          66         10
    21       45       20         11           38          63         10
    22       45       10         18          142         167         10
    23       55        5         29           89         114         10
    24       65       35          3           91         116         10
    25       65       20          6           85         110         10
    26       45       30         17          129         154         10
    27       35       40         16           36          61         10
    28       41       37         16          175         200         10
    29       64       42          9           30          55         10
    30       40       60         21          145         170         10
    31       31       52         27           18          43         10
    32       35       69         23          128         153         10
    33       53       52         11          164         189         10
    34       65       55         14           55          80         10
    35       63       65          8          138         163         10
    36        2       60          5           41          66         10
    37       20       20          8          117         142         10
    38        5        5         16           73          98         10
    39       60       12         31           59          84         10
    40       40       25          9           11          36         10
    41       42        7          5          109         134         10
    42       24       12          5           25          50         10
    43       23        3          7           39          64         10
    44       11       14         18          108         133         10
    45        6       38         16           47          72         10
    46        2       48          1           83         108         10
    47        8       56         27          127         152         10
    48       13       52         36           82         107         10
    49        6       68         30           44          69         10
    50       47       47         13          140         165         10
    51       49       58         10           63          88         10
    52       27       43          9           42          67         10
    53       37       31         14          185         210         10
    54       57       29         18          125         150         10
    55       63       23          2           53          78         10
    56       53       12          6           83         108         10
    57       32       12          7          154         179         10
    58       36       26         18           44          69         10
    59       21       24         28          170         195         10
    60       17       34          3          103         128         10
    61       12       24         13          122         147         10
    62       24       58         19           34          59         10
    63       27       69         10          103         128         10
    64       15       77          9           47          72         10
    65       62       77         20           50          75         10
    66       49       73         25          164         189         10
    67       67        5         25          103         128         10
    68       56       39         36          129         154         10
    69       37       47          6           47          72         10
    70       37       56          5          182         207         10
    71       57       68         15          128         153         10
    72       47       16         25           70          95         10
    73       44       17          9          182         207         10
    74       46       13          8          176         201         10
    75       49       11         18           28          53         10
    76       49       42         13          179         204         10
    77       53       43         14           60          85         10
    78       61       52          3          146         171         10
    79       57       48         23           32          57         10
    80       56       37          6          101         126         10
    81       55       54         26          170         195         10
    82       15       47         16          118         143         10
    83       14       37         11           21          46         10
    84       11       31          7          148         173         10
    85       16       22         41           86         111         10
    86        4       18         35          135         160         10
    87       28       18         26           70          95         10
    88       26       52          9           60          85         10
    89       26       35         15          175         200         10
    90       31       67          3          156         181         10
    91       15       19          1           72          97         10
    92       22       22          2          170         195         10
    93       18       24         22           20          45         10
    94       26       27         27           56          81         10
    95       25       24         20          150         175         10
    96       22       27         11          137         162         10
    97       25       21         12           17          42         10
    98       19       21         10           41          66         10
    99       20       26          9           72          97         10
   100       18       18         17           86         111         10
